,Name,Movie_ID,Rating,Duration,Description,Release_Date,Total_Revenue
442,1984,2046368,0,22 minutes,"Ali communicates with Mona by accident over the phone, and during the events of the revolution they restore their old friendship, and witness the many events that the country is going through.",31 December,
443,Gay Al-Zaman,2036338,0,100 minutes,"A documentary in which the director Dina Hamza discusses the life of her father, the late poet Mohamed Hamza who wrote songs for famous singers like Abdel Halim Hafez, Shadia, and Warda. Mohamed Hamza...Read more",26 May,
444,Zay Oud Al-Kabrit,2034447,4.3,84 minutes,A comedic tale created by the late actor Hussein Imam to pay tribute to the stars of the Egyptian cinema in its golden age. The main story is based on mixing scenes of 21-star from black and white...Read more,24 August,
445,Mr. Know It All,2025830,4.9,94 minutes,"In a comical-political portrayal of the living condition in Egypt, the story follows a young man who struggles to fulfill his dreams and aspirations in a volatile atmosphere where unemployment and...Read more",1 January,
446,Bab alwadae,2034236,5.4,65 minutes,"A young man raised by his mother and grandmother, is completely isolated from the outside world by his mother, fearing that he will leave her like his father did or get hurt. But the young man dreams...Read more",11 November,
447,Mother Of The Unborn,2040848,5.5,95 minutes,,4 November,
448,brivet,2036545,0,32 minutes,,2 May,
449,Newspaper Talk,1011138,4.6,100 minutes,"A depiction of the problems caused by the rumors that newspapers spread about celebrities, through the story of a television presenter whose show, Newspaper Talk, causes her a lot of problems due to...Read more",1 January,
450,Eazazil abn alshaytan,2037031,4.8,88 minutes,"With an evil sorcery talisman, the devil Azazel is resuscitated to harm an innocent girl. Azazel first requests a sacrifice, which he is granted. So he haunts the innocent girl, driving her to commit...Read more",22 April,
451,Moment,2035228,0,15 minutes,,1 January,
452,Helm Shahrazad,2036522,0,110 minutes,"A documentary film which locates political expression before, during and after the Egyptian revolution – and also within recent times in Turkey and Lebanon – within a broader historical and cultural ...Read more",1 April,
453,The Tea Cart,2036512,0,11 minutes,,1 January,
454,Al-Matour,2036398,0,14 minutes,"As three young men try to go to the beach, they end up in a remote area and they try to get a ride out. As their attempts prove unsuccessful, they confront each other.",1 January,
455,Al-Matour,2036398,0,14 minutes,"As three young men try to go to the beach, they end up in a remote area and they try to get a ride out. As their attempts prove unsuccessful, they confront each other.",1 January,
456,Rest In Peace,2036402,0,15 minutes,,1 January,
457,Decor,2027320,7.2,105 minutes,"Maha is a film set designer who finds herself torn between two worlds as she gets attached to the fictional world of her new film. As fiction and reality start to blur together, Maha needs to choose...Read more",17 December,
458,Zan,2034825,0,90 minutes,"Hamad is a Saudi businessman who is desperate to have a son. After five years, his wife Laila fears that he has run out of patience, despite her ardent efforts to give him a child. Out of desperation,...Read more",1 January,
459,Sugar on the side,2034829,0,77 minutes,"The film takes place in Egypt in 2013, a time when political power was being reshaped and a new authority was rising. Nhamdouh, Hanan and other girls and women from the villages of Southern Giza in...Read more",1 January,
